idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
48,1975-11-22,Pará,12349,Doutorado,3,Solteiro(a),Engenharia
31,1992-11-10,Mato Grosso do Sul,8190,Ensino Médio,1,Casado(a),Saúde
31,1993-04-16,Amazonas,22386,Ensino Médio,0,Viúvo(a),Administração
19,2005-01-15,Amazonas,29193,Ensino Médio,0,Solteiro(a),Administração
45,1979-05-10,São Paulo,9191,Ensino Fundamental,4,Viúvo(a),Saúde
56,1968-02-11,Bahia,7753,Doutorado,4,Divorciado(a),Saúde
58,1966-07-08,Mato Grosso,25758,Mestrado,3,Casado(a),Educação
55,1969-07-08,Espírito Santo,22712,Ensino Fundamental,4,Solteiro(a),Tecnologia
55,1969-06-19,Goiás,26955,Ensino Médio,2,Viúvo(a),Saúde
56,1967-08-25,Tocantins,28928,Mestrado,4,Solteiro(a),Marketing
50,1974-04-10,Tocantins,23017,Pós-Graduação,0,Viúvo(a),Saúde
34,1989-12-25,Rondônia,21145,Pós-Graduação,3,Divorciado(a),Engenharia
23,2001-08-06,Bahia,9991,Doutorado,3,Viúvo(a),Administração
22,2002-08-01,Paraná,22757,Ensino Superior,2,Solteiro(a),Tecnologia
48,1976-03-23,Sergipe,24416,Ensino Fundamental,4,Divorciado(a),Tecnologia
24,2000-05-16,Goiás,12117,Doutorado,3,Viúvo(a),Engenharia
47,1976-09-28,Amazonas,20730,Doutorado,4,Viúvo(a),Marketing
54,1970-02-19,Paraíba,10968,Mestrado,2,Divorciado(a),Saúde
41,1983-02-03,Tocantins,19038,Doutorado,2,Casado(a),Tecnologia
21,2002-12-08,Amapá,14291,Pós-Graduação,1,Solteiro(a),Tecnologia
35,1989-02-14,Amazonas,4405,Ensino Superior,3,Casado(a),Educação
57,1967-06-16,Tocantins,26150,Doutorado,1,Viúvo(a),Marketing
50,1973-12-28,Amapá,11039,Ensino Superior,2,Solteiro(a),Tecnologia
44,1980-02-09,Rio de Janeiro,9257,Pós-Graduação,2,Divorciado(a),Tecnologia
40,1984-01-27,Tocantins,19119,Ensino Superior,4,Viúvo(a),Saúde
57,1967-03-02,Sergipe,1976,Pós-Graduação,2,Viúvo(a),Marketing
32,1991-12-10,Paraíba,10150,Pós-Graduação,4,Casado(a),Engenharia
20,2004-06-11,Pernambuco,25177,Pós-Graduação,4,Casado(a),Engenharia
23,2000-11-24,Pernambuco,27167,Ensino Fundamental,1,Casado(a),Marketing
22,2002-08-01,Alagoas,5086,Ensino Médio,3,Divorciado(a),Saúde
22,2002-07-13,Rio de Janeiro,28190,Ensino Médio,4,Solteiro(a),Marketing
56,1968-07-03,Rio Grande do Sul,17122,Ensino Médio,4,Solteiro(a),Educação
21,2003-02-01,Paraíba,6308,Ensino Superior,4,Divorciado(a),Tecnologia
44,1979-09-16,Espírito Santo,23382,Ensino Superior,1,Casado(a),Administração
45,1979-07-28,Amazonas,1818,Mestrado,1,Solteiro(a),Educação
41,1983-04-26,Rio Grande do Sul,23335,Ensino Superior,1,Solteiro(a),Engenharia
57,1966-09-26,Espírito Santo,7407,Mestrado,4,Divorciado(a),Saúde
23,2001-05-25,Espírito Santo,28915,Doutorado,3,Divorciado(a),Marketing
40,1983-11-13,Mato Grosso do Sul,21322,Ensino Médio,4,Casado(a),Administração
57,1967-08-20,Paraná,25208,Ensino Médio,2,Solteiro(a),Administração
24,2000-02-07,Acre,16557,Doutorado,0,Viúvo(a),Engenharia
33,1990-11-19,Bahia,1769,Doutorado,4,Casado(a),Engenharia
55,1969-03-06,Mato Grosso do Sul,7494,Pós-Graduação,0,Casado(a),Engenharia
45,1979-06-30,Bahia,15796,Ensino Fundamental,4,Viúvo(a),Educação
39,1985-01-06,Maranhão,13569,Ensino Médio,4,Solteiro(a),Marketing
29,1995-05-07,São Paulo,26635,Ensino Médio,3,Solteiro(a),Engenharia
21,2003-07-10,Amazonas,24573,Mestrado,0,Viúvo(a),Saúde
44,1979-10-26,Tocantins,11089,Mestrado,1,Casado(a),Saúde
22,2001-12-28,Maranhão,10086,Ensino Superior,4,Viúvo(a),Saúde
36,1988-01-12,Rio Grande do Norte,19511,Ensino Médio,0,Solteiro(a),Marketing
34,1989-09-11,Rio Grande do Norte,19633,Mestrado,4,Solteiro(a),Marketing
59,1965-02-20,Ceará,28394,Ensino Médio,2,Divorciado(a),Administração
45,1978-10-10,Rondônia,25180,Pós-Graduação,2,Viúvo(a),Saúde
52,1972-05-18,Rondônia,16747,Mestrado,0,Solteiro(a),Saúde
57,1967-03-14,Amapá,7550,Mestrado,0,Divorciado(a),Educação
47,1977-01-16,Rio de Janeiro,18775,Ensino Fundamental,2,Divorciado(a),Administração
50,1974-03-19,Paraná,17497,Ensino Superior,0,Casado(a),Tecnologia
38,1986-05-23,Amazonas,2066,Ensino Médio,1,Solteiro(a),Engenharia
27,1997-07-08,São Paulo,17950,Mestrado,4,Casado(a),Marketing
44,1980-02-17,Piauí,14681,Ensino Fundamental,3,Casado(a),Marketing
56,1968-06-08,Ceará,11342,Doutorado,0,Viúvo(a),Saúde
18,2006-07-15,Distrito Federal,23912,Ensino Superior,0,Solteiro(a),Saúde
20,2004-04-12,Rio de Janeiro,25786,Ensino Superior,2,Casado(a),Tecnologia
46,1978-03-05,Rondônia,27302,Pós-Graduação,0,Divorciado(a),Tecnologia
50,1973-12-03,Minas Gerais,29295,Doutorado,1,Viúvo(a),Marketing
48,1975-10-19,Paraná,23284,Pós-Graduação,3,Casado(a),Marketing
21,2003-08-14,Minas Gerais,3827,Doutorado,2,Casado(a),Tecnologia
